Date,24. Oktober 2021,29. Oktober 2021,1. November 2021,8. November 2021,15. November 2021,22. November 2021,29. November 2021,1. December 2021,8. December 2021,15. December 2021,22. December 2021,29. December 2021,1. Januar 2022,8. Januar 2022,15. Januar 2022,22. Januar 2022,29. Januar 2022,1. Februar 2022,8. Februar 2022,15. Februar 2022,22. Februar 2022
richtige hygiene schützt,0.09486444608123244,0.01842472956731084,0.059333672196724696,0.04496842612420603,0.0864202104118298,0.09618313133134639,0.0287009067394181,0.08987375012968046,0.028573438304291283,0.032760390234210277,0.0880345789361428,0.038879200882017774,0.02654369655689519,0.07775840176403553,0.06136341394412079,0.024513954809499108,0.01842472956731084,0.004059483494792178,0,0,0
breiten auswahl,0.1801842838991703,0.03954014934056618,0.07437964182014155,0.2781260130428221,0.32465245799531584,0.49364409062758013,0.03954014934056618,0.3448394806112498,0.2323613608073419,0.16277731371687698,0.4469309053611428,0.22617720845308353,0.23155183014102373,0.25238944724221224,0.194276110541229,0.5154116989033887,0.0931870726105574,0.07908029868113237,0,0,0
spare,0.8360091908569433,0.0747829599970786,0.23587981121432983,0.6423408014287955,0.7228273322672079,0.5083133868469841,0.06884630418143409,1.2278499975903105,0.5474806799120824,0.31397138054601675,0.36084914039930355,0.17335584282435357,0.5095091074869733,0.5151764980580917,0.37049730147971444,0.39929201691993293,0.1354020318598724,0.3268220267150819,0,0,0
stores limited,0.2843083710756452,0.019585139214836948,0.24835757760340743,0.31135080490512707,1.4624078168279249,1.1050130274161958,0.019585139214836948,0.3261002166334225,0.7172126022241643,0.08321019015909711,1.0885265036479685,0.19505838752155696,0.46985237073686076,0.3097678390857452,0.27355718634975323,0.39962625026526843,0.0695876883819618,0.039170278429673897,0,0,0
laut horoskop,0.2503684359941417,0.02415430726858902,0.3883576615963018,0.5112695766425839,0.48401943378514267,0.6408356748230545,0.03401814220009834,0.5393581964572407,0.3287670007405479,0.11071506170064375,0.17402216424288183,0.15776816182368647,0.30542631981888557,0.9018434230328329,0.2106657760976141,0.31874554783721953,0.00038491587236497924,0.18478490536906544,0,0,0
thema sex sexstellungen,0.17737685058409935,0.027266329204296513,0.39217400271168146,0.17500291901529103,0.22817415102460603,0.13822007395560326,0.027266329204296513,1.0275565679924108,0.1943063216021078,0.12325884306533991,0.40278079115198734,0.08559658543939526,0.2659440692419887,0.5641733294458644,0.4115627700829201,0.27702400121350007,0.07351197642865541,0.054532658408593025,0,0,0
mango,0.04120413523539568,0.1300950967496169,0.06977529907125822,0.32381792266932224,0.3301293423358296,0.3719283472421395,0.03874456518394107,0.8795425569477224,0.3238179226693223,0.11623369555182322,0.25517552546956934,0.07994870041933674,0.2625136697574544,0.27244038608584803,0.18503995813593044,0.14234528933623114,0.023652023732953328,0.1325546668010715,0,0,0
herrenhandschuhe bleiben,0.2250901536639048,0.05469824925482276,0.18406937229175224,0.2804542466503555,0.3710129606123241,0.33665522655103425,0.05469824925482276,0.39018633454153745,0.25895276467149,0.16525067663475965,0.28493560734602397,0.14548304556907898,0.16389402302366315,0.19845471686752014,0.23717651850538587,0.37919903301347224,0.004329920974345181,0.10939649850964552,0,0,0
städte metal hammer,0.12731004990157327,0.1361327193183653,0.2094324907377926,0.18214601024912883,0.445339802096219,0.34637015317137476,0.1361327193183653,0.22391733932969457,0.18628934770856376,0.060607887101451347,0.23926453216809065,0.12507395282325817,0.1979732632579586,0.2440567033781614,0.10428925289672142,0.21484287840147687,0.03558617585935055,0.019121043942390475,0,0,0
verschenken an weihnachten,0.37760618036275617,0.720484541956516,0.16744340063806895,0.31483122009653397,0.3918186437945485,0.3852966048473152,0.040791756885865824,0.3579969644949692,0.3815684348147116,0.22676265282289887,0.30158438078329586,0.402705965988713,0.29959993035897964,0.2671369971298693,0.271167681950505,0.12933316841362094,0.044080668901040544,0.14005129325825583,0,0,0
tageshoroskop newsletter horoskop,0.11305964344107149,0.0065827520303046675,0.4815229638025002,0.05121469856489623,0.19680771997907814,0.264669089826363,0.006564023879033178,0.3100853019888097,0.050080546261305446,0.15988652796134142,0.3510323181709478,0.18201550804196187,0.08783649094364855,0.7135674845089351,0.12702792361975157,0.4304279607997855,0.34690409150632684,0.013137529992452272,0,0,0
gesunde lebensmittel,0.1629731057310596,0.06135703987768992,0.10869494184092385,0.32043037628109006,0.23276637465454034,0.3825364859817075,0.06135703987768992,0.24544488806365247,0.2602881376412323,0.18407111963306977,0.2004537851170016,0.2241004435800616,0.14756387610039048,0.09096772363064734,0.17005198171861377,0.10993357075339492,0.00430103394319701,0.12271407975537985,0,0,0
raum schöne ferien,0.1409757564848118,0.009643948753708869,0.10540416122129406,0.13032203386435046,0.1848280689130398,0.18621707924358993,0.009643948753708869,0.7755402632056426,0.09528380321023129,0.08356437115106771,0.10724584675372581,0.0985858738379114,0.46902361906416185,0.15404518146692397,0.09377678190194161,0.06407474396034696,0.010910541703357745,0.019287897507417738,0,0,0
startseitemedizin gesundheit,0.07069686891538945,0.009311904540328507,0.061461937863530554,0.15985193288128466,0.2640356186130406,0.37043106792618785,0.009794676597653196,0.30022576691083236,0.10401853264301272,0.07117964097271415,0.15216535966390934,0.17384185396260768,0.06269682085839746,0.16568430404133075,0.1045895677234118,0.05329665329499459,0.009794676597653196,0.018623809080657014,0,0,0
