Id,Label,timeset,frequency,modularity_class
Kohlenhydrate,Kohlenhydrate,,1160,7
kcal,kcal,,800,7
Zubereitungszeit,Zubereitungszeit,,721,7
abnehmen,abnehmen,,569,22
Chili con Carne,Chili con Carne,,366,15
Essen,Essen,,322,7
Kaffee,Kaffee,,311,65
Konzepte im Überblick,Konzepte im Überblick,,265,7
Abnehmen,Abnehmen,,242,74
Stunde,Stunde,,231,7
selber,selber,,188,7
Kürbis,Kürbis,,177,0
Diät,Diät,,167,74
Geschenke,Geschenke,,155,7
Wunder,Wunder,,151,21
Fruchtfleisch,Fruchtfleisch,,142,48
Küche,Küche,,139,52
leckeres Essen,leckeres Essen,,133,7
Essen helfen,Essen helfen,,129,7
leckeres Essen helfen,leckeres Essen helfen,,129,7
Beeren Cremige Kartoffelsuppe,Beeren Cremige Kartoffelsuppe,,129,7
MenüFoto,MenüFoto,,117,67
Minuten BackzeitPro Portion,Minuten BackzeitPro Portion,,117,7
leckere Herbstrezepte Tagliatelle,leckere Herbstrezepte Tagliatelle,,117,7
leckere Herbstrezepte,leckere Herbstrezepte,,114,7
Herbstrezepte Herbstzeit,Herbstrezepte Herbstzeit,,114,7
leckere Herbstrezepte Herbstzeit,leckere Herbstrezepte Herbstzeit,,114,7
Herbstzeit ist Erntezeit,Herbstzeit ist Erntezeit,,114,7
beste Rezept,beste Rezept,,114,15
Haut,Haut,,1109,1
Herbst,Herbst,,832,8
ausgewogene Ernährung,ausgewogene Ernährung,,746,11
Sephora Unlimited Beauty,Sephora Unlimited Beauty,,591,75
Produktempfehlungen im Überblick,Produktempfehlungen im Überblick,,570,1
Stress,Stress,,554,14
Tipps und Tricks,Tipps und Tricks,,552,24
Sephora UNLIMITED Mitglied,Sephora UNLIMITED Mitglied,,526,75
Anbieter,Anbieter,,497,4
Ingwer,Ingwer,,478,49
Sephora Unlimited,Sephora Unlimited,,470,75
Gerät,Gerät,,469,52
Cookies,Cookies,,456,75
Prozent,Prozent,,450,9
November,November,,442,4
Produkte,Produkte,,420,21
Schwangerschaft,Schwangerschaft,,396,20
Sephora App,Sephora App,,395,75
Rücken,Rücken,,386,17
Instagram aktivieren,Instagram aktivieren,,385,4
Alter,Alter,,331,22
Hormone,Hormone,,312,74
Instagram,Instagram,,303,1
Hand,Hand,,298,73
Wochen,Wochen,,293,57
Website,Website,,289,75
Hausmittel,Hausmittel,,288,52
Nährstoffen,Nährstoffen,,286,77
Tricks,Tricks,,274,74
Teint,Teint,,271,75
neuesten Stand,neuesten Stand,,259,5
Produkt,Produkt,,234,1
Augen,Augen,,230,1
Gründe,Gründe,,218,98
erfährst,erfährst,,212,10
kalten Jahreszeit,kalten Jahreszeit,,208,78
Make-up,Make-up,,207,36
Nachhaltigkeit,Nachhaltigkeit,,206,1
Guido Maria Kretschmer,Guido Maria Kretschmer,,205,8
Blick,Blick,,202,56
Empfehlung,Empfehlung,,190,1
Hände,Hände,,189,3
Skincare,Skincare,,186,21
Foundation,Foundation,,184,1
Tipp,Tipp,,180,48
Sephora,Sephora,,176,75
Menge,Menge,,174,56
Händen,Händen,,165,57
Falten,Falten,,160,10
Rabatt,Rabatt,,159,89
Periode,Periode,,153,1
Pickel,Pickel,,152,1
Fleisch,Fleisch,,148,15
Wimpern,Wimpern,,147,1
Produkten,Produkten,,141,3
unreine Haut,unreine Haut,,130,1
Wirkung,Wirkung,,128,1
Gesicht,Gesicht,,128,1
Mund,Mund,,127,1
Platz,Platz,,124,8
Zähne,Zähne,,121,12
Sonne,Sonne,,121,17
SEPHORA,SEPHORA,,121,75
Mascara,Mascara,,118,4
Bad,Bad,,117,7
Maske,Maske,,116,1
Themen auf ELLEPflege,Themen auf ELLEPflege,,115,96
Hautpflege,Hautpflege,,113,10
Milch,Milch,,113,48
Baby,Baby,,112,4
Lippen,Lippen,,112,1
Concealer,Concealer,,111,1
Bad Hair Days,Bad Hair Days,,111,91
Monat,Monat,,109,10
Erfahrung,Erfahrung,,108,1
UnsVon Cordula,UnsVon Cordula,,108,91
Curtain Bangs,Curtain Bangs,,104,21
Thema Nachhaltigkeit,Thema Nachhaltigkeit,,102,1
Strand,Strand,,102,17
strahlenden Teint,strahlenden Teint,,102,9
Geschäften,Geschäften,,100,1
Getty,Getty,,100,4
FARBEN,FARBEN,,1090,2
fit Jeans,fit Jeans,,954,2
PANTS,PANTS,,628,2
SPARE,SPARE,,547,2
JEANS,JEANS,,533,2
RABATT,RABATT,,458,2
AUSGEWÄHLTE,AUSGEWÄHLTE,,416,2
SHOPPEN,SHOPPEN,,282,2
CODE,CODE,,270,2
EXTRA,EXTRA,,267,2
AUSGEWÄHLTE JACKEN,AUSGEWÄHLTE JACKEN,,260,2
Lust,Lust,,241,2
Trends der Saison,Trends der Saison,,222,2
LETZTE CHANCE,LETZTE CHANCE,,220,2
SPARE MINDESTENS,SPARE MINDESTENS,,220,2
JONES Hosen,JONES Hosen,,218,2
Teilen mit Print,Teilen mit Print,,218,2
JJXX,JJXX,,218,2
Weiß oder Schwarz,Weiß oder Schwarz,,215,2
Must-haves der Saison,Must-haves der Saison,,215,2
ARTIKEL,ARTIKEL,,207,2
