Id,Label,timeset,modularity_class
Gesundheit,Gesundheit,,10
Fragen und Antworten,Fragen und Antworten,,10
Antworten zur Grippeimpfung,Antworten zur Grippeimpfung,,10
Bleib gesund,Bleib gesund,,10
Lebensmitteln umgehen,Lebensmitteln umgehen,,0
sinnvoll ist Wochenplan,sinnvoll ist Wochenplan,,0
Nachhaltig genießen,Nachhaltig genießen,,0
Umwelt,Umwelt,,0
Kindern Laktoseintoleranz,Kindern Laktoseintoleranz,,10
Grippeimpfung Kreidezähne,Grippeimpfung Kreidezähne,,10
Kreidezähne bei Kindern,Kreidezähne bei Kindern,,10
Medizin Fragen,Medizin Fragen,,10
Fakten und Neuigkeiten,Fakten und Neuigkeiten,,10
rein Alleskönner Vitamin,rein Alleskönner Vitamin,,10
Wochen und Monaten,Wochen und Monaten,,10
Thema Gesundheit,Thema Gesundheit,,10
Wochen,Wochen,,10
Monaten,Monaten,,10
Thema Gesundheit weiterhilft,Thema Gesundheit weiterhilft,,10
ums Thema Gesundheit,ums Thema Gesundheit,,10
Gesundheitsmagazin,Gesundheitsmagazin,,10
StartseiteErnährungNachhaltig genießen,StartseiteErnährungNachhaltig genießen,,0
StartseiteMedizin Gesundheit,StartseiteMedizin Gesundheit,,10
Gesundheitsmagazin bleib gesund,Gesundheitsmagazin bleib gesund,,10
Sport,Sport,,38
Nachhaltig genießen Lebensmittelvorräte,Nachhaltig genießen Lebensmittelvorräte,,0
genießen Lebensmittelvorräte,genießen Lebensmittelvorräte,,0
Lebensmitteln,Lebensmitteln,,0
Klima,Klima,,0
Zahl der Neuinfektionen,Zahl der Neuinfektionen,,10
mentale Gesundheit,mentale Gesundheit,,38
Mentale Gesundheit,Mentale Gesundheit,,38
StartseiteNewsMentale Gesundheit,StartseiteNewsMentale Gesundheit,,38
mentale Gesundheit verbessern,mentale Gesundheit verbessern,,38
mentale Gesundheit deutlich,mentale Gesundheit deutlich,,38
Musik tut,Musik tut,,38
Musik,Musik,,38
mentale Gesundheit wackelt,mentale Gesundheit wackelt,,38
unsichtbare Arbeit stresst,unsichtbare Arbeit stresst,,3
Mental Load,Mental Load,,3
Hilfsmittel Mental Load,Hilfsmittel Mental Load,,3
Schöne Ferien,Schöne Ferien,,3
Diagnose Schwangerschaftsdiabetes,Diagnose Schwangerschaftsdiabetes,,3
Hormone und Hilfsmittel,Hormone und Hilfsmittel,,3
Verhütung ohne Hormone,Verhütung ohne Hormone,,3
Familie Diagnose Schwangerschaftsdiabetes,Familie Diagnose Schwangerschaftsdiabetes,,3
stresst Schöne Ferien,stresst Schöne Ferien,,3
Arbeit stresst Schöne,Arbeit stresst Schöne,,3
Schwangerschaftsdiabetes Fünf Gründe,Schwangerschaftsdiabetes Fünf Gründe,,3
Arbeit stresst Folge,Arbeit stresst Folge,,3
Leben lang zusammenbleiben,Leben lang zusammenbleiben,,3
Sexualität Verhütung,Sexualität Verhütung,,3
Hilfsmittel Mental,Hilfsmittel Mental,,3
StartseiteFamiliePartnerschaft und Sexualität,StartseiteFamiliePartnerschaft und Sexualität,,3
StartseiteFamilie Gesundheit,StartseiteFamilie Gesundheit,,3
Patricia Cammarata,Patricia Cammarata,,3
Arbeit stresst Mental,Arbeit stresst Mental,,3
Load,Load,,3
Mental,Mental,,3
Begriff Mental Load,Begriff Mental Load,,3
Bloggerin Patricia Cammarata,Bloggerin Patricia Cammarata,,3
Thema Mental Load,Thema Mental Load,,3
