Id,Label,timeset,modularity_class
Stier Zwillinge Krebs,Stier Zwillinge Krebs,,19
Widder Stier Zwillinge,Widder Stier Zwillinge,,19
Zwillinge Krebs,Zwillinge Krebs,,19
Widder Stier,Widder Stier,,19
Stier Zwillinge,Stier Zwillinge,,19
Zwillinge Krebs Löwe,Zwillinge Krebs Löwe,,19
Krebs Löwe Jungfrau,Krebs Löwe Jungfrau,,19
Löwe Jungfrau Waage,Löwe Jungfrau Waage,,19
Jungfrau Waage Skorpion,Jungfrau Waage Skorpion,,19
Waage Skorpion Schütze,Waage Skorpion Schütze,,19
Steinbock Wassermann Fische,Steinbock Wassermann Fische,,19
Skorpion Schütze Steinbock,Skorpion Schütze Steinbock,,19
Schütze Steinbock Wassermann,Schütze Steinbock Wassermann,,19
Krebs,Krebs,,19
Widder,Widder,,19
Wochenhoroskop Widder Stier,Wochenhoroskop Widder Stier,,19
Wochenhoroskop Widder,Wochenhoroskop Widder,,19
Wochenhoroskop,Wochenhoroskop,,19
Tageshoroskop Widder Stier,Tageshoroskop Widder Stier,,19
Tageshoroskop erfährst,Tageshoroskop erfährst,,19
Tageshoroskop Widder,Tageshoroskop Widder,,19
aufregenden Begegnungen warten,aufregenden Begegnungen warten,,19
Tageshoroskop,Tageshoroskop,,19
Monatshoroskop Widder Stier,Monatshoroskop Widder Stier,,19
Monatshoroskop Widder,Monatshoroskop Widder,,19
Monatshoroskop wartet,Monatshoroskop wartet,,19
Monatshoroskop,Monatshoroskop,,19
SPANNENDE NEWS Widder,SPANNENDE NEWS Widder,,19
NEWS Widder Stier,NEWS Widder Stier,,19
Krebs Löwe,Krebs Löwe,,19
Sternzeichen,Sternzeichen,,1
Liebe,Liebe,,1
Sachen,Sachen,,1
Aszendenten,Aszendenten,,2
Jahreshoroskop,Jahreshoroskop,,1
verraten,verraten,,2
Frau,Frau,,24
Aszendent,Aszendent,,2
Sachen Liebe,Sachen Liebe,,1
Beruf und Gesundheit,Beruf und Gesundheit,,1
Gesundheit erwartet,Gesundheit erwartet,,1
unbedingt wissen,unbedingt wissen,,2
verrät,verrät,,1
Beruf,Beruf,,1
unserem Sternzeichen,unserem Sternzeichen,,2
unserem,unserem,,2
Aszendent Der Zwillinge-Aszendent,Aszendent Der Zwillinge-Aszendent,,2
dahintersteckt,dahintersteckt,,2
aussagt,aussagt,,2
Verhalten verraten,Verhalten verraten,,1
unseren Charakter,unseren Charakter,,1
Sternzeichen Sternzeichen-Eigenschaften,Sternzeichen Sternzeichen-Eigenschaften,,1
laut Astrologie tickst,laut Astrologie tickst,,1
Charakter,Charakter,,1
Verhalten,Verhalten,,1
größte Rätsel,größte Rätsel,,24
Männer Männer verstehen,Männer Männer verstehen,,24
Männer verstehen,Männer verstehen,,24
Männer Männer,Männer Männer,,24
laut Astrologie,laut Astrologie,,1
Astrologie tickst,Astrologie tickst,,1
erfährst,erfährst,,2
Rätsel,Rätsel,,24
Männer denken,Männer denken,,24
lüften alle Geheimnisse,lüften alle Geheimnisse,,24
wissen,wissen,,2
berechnest,berechnest,,2
Sex,Sex,,4
Sternzeichen treffen,Sternzeichen treffen,,1
treffen drei Sternzeichen,treffen drei Sternzeichen,,1
Menge Leidenschaft freuen,Menge Leidenschaft freuen,,1
Menge Leidenschaft,Menge Leidenschaft,,1
treffen,treffen,,1
romantische Stunden,romantische Stunden,,1
Laut Sternzeichen,Laut Sternzeichen,,1
genau das Richtige,genau das Richtige,,10
finden im Herbst,finden im Herbst,,1
verlieben HIER WEITERLESEN,verlieben HIER WEITERLESEN,,1
Zeichen auf Liebesglück,Zeichen auf Liebesglück,,1
Wassermann Löwe Waage,Wassermann Löwe Waage,,1
